station_name,station_id,lat,lng
2112 W Peterson Ave,1,41.991161729691882,-87.683592172455619
63rd St Beach,2,41.781052497804261,-87.57612809187053
900 W Harrison St,3,41.8747676018918,-87.64980477396098
Aberdeen St & Jackson Blvd,4,41.877720779404491,-87.654792138860159
Aberdeen St & Monroe St,5,41.880414761538468,-87.655516799346842
Aberdeen St & Randolph St,6,41.884114663376479,-87.654270784691519
Ada St & 113th St,7,41.687469137931032,-87.655402183908052
Ada St & Washington Blvd,8,41.8828258074008,-87.661193876144679
Adler Planetarium,9,41.866098194981952,-87.607277089036288
Albany Ave & 26th St,10,41.844482189581107,-87.702013297253487
Albany Ave & Bloomingdale Ave,11,41.914013613689015,-87.705121942902181
Albany Ave & Montrose Ave,12,41.961019064088191,-87.7058489609025
Archer (Damen) Ave & 37th St,13,41.8267091008958,-87.6831335140264
Artesian Ave & Hubbard St,14,41.889500038730993,-87.688160056572528
Ashland Ave & 13th St,15,41.865239364255338,-87.66650679165005
Ashland Ave & 50th St,16,41.803032728464423,-87.66468601935081
Ashland Ave & 63rd St,17,41.779376526666667,-87.6648435025
Ashland Ave & 66th St,18,41.774078419590644,-87.663794831871328
Ashland Ave & 69th St,19,41.768722237410081,-87.664072342925664
Ashland Ave & 73rd St,20,41.761225534608833,-87.663361502829261
Ashland Ave & 74th St,21,41.759219399843928,-87.663487162199317
Ashland Ave & 78th St,22,41.752214965145562,-87.6637218924807
Ashland Ave & Archer Ave,23,41.839195185041582,-87.6656100381069
Ashland Ave & Augusta Blvd,24,41.89962983017773,-87.667750620862307
Ashland Ave & Belle Plaine Ave,25,41.956070115284724,-87.6688187860323
Ashland Ave & Blackhawk St,26,41.907073152694025,-87.667255408251563
Ashland Ave & Chicago Ave,27,41.895976759746233,-87.66773009523817
Ashland Ave & Division St,28,41.903456521253545,-87.667747528336434
Ashland Ave & Garfield Blvd,29,41.792828108955227,-87.664323139801
Ashland Ave & Grace St,30,41.95068595222223,-87.668699752846
Ashland Ave & Grand Ave,31,41.891080183652669,-87.666614827455817
Ashland Ave & Lake St,32,41.885917333144533,-87.667174408279408
Ashland Ave & Mcdowell Ave,33,41.808883108197705,-87.66451635352621
Ashland Ave & Pershing Rd,34,41.823474321969691,-87.665584750582752
Ashland Ave & Wellington Ave,35,41.936082131524081,-87.669810054542566
Ashland Ave & Wrightwood Ave,36,41.928822594782289,-87.668497207899335
Austin Blvd & Chicago Ave,37,41.894891742324553,-87.7746244629934
Austin Blvd & Lake St,38,41.8879138798229,-87.774420143421864
Austin Blvd & Madison St,39,41.88028506860158,-87.774469120492526
Avenue O & 118th St,40,41.681026876339764,-87.53795817000298
Avenue O & 134th St,41,41.651915718427695,-87.539632851746063
Avers Ave & Belmont Ave,42,41.939403440680763,-87.723574831295423
Avondale Ave & Irving Park Rd,43,41.953381144111852,-87.731969434162451
Baltimore Ave & 87th St,44,41.737337189205242,-87.548496588455421
Base - 2132 W Hubbard Warehouse,45,41.889946336548149,-87.680376273228973
Bennett Ave & 79th St,46,41.751792914772729,-87.578500970643958
Benson Ave & Church St,47,42.048205401363951,-87.683488295803542
Bernard St & Elston Ave,48,41.949897843269454,-87.713902351194676
Big Marsh Park,49,41.685971441806366,-87.5734467604595
Bissell St & Armitage Ave,50,41.918433163874717,-87.652214174375715
Blackstone Ave & Hyde Park Blvd,51,41.802578502223717,-87.590375766255008
Blue Island Ave & 18th St,52,41.857560762022317,-87.661525535253247
Bosworth Ave & Howard St,53,42.019526534667961,-87.66956674804689
Bradley Park,54,41.717891094242063,-87.5646195348444
Broadway & Argyle St,55,41.973801209613065,-87.659675447063776
Broadway & Barry Ave,56,41.937610986894825,-87.6440983030685
Broadway & Belmont Ave,57,41.940105804714484,-87.645460758279057
Broadway & Berwyn Ave,58,41.978360871037069,-87.659762489999778
Broadway & Cornelia Ave,59,41.945522751037977,-87.646432521233351
Broadway & Granville Ave,60,41.99474985875414,-87.660269949077545
Broadway & Ridge Ave,61,41.984029433052434,-87.66027167929164
Broadway & Sheridan Rd,62,41.952819568100324,-87.649993560083
Broadway & Thorndale Ave,63,41.989723833954606,-87.660123665291238
Broadway & Waveland Ave,64,41.949077047149494,-87.648628999661838
Broadway & Wilson Ave,65,41.9652166247384,-87.658146933477056
Buckingham Fountain,66,41.876501588687539,-87.620530890130141
Budlong Woods Library,67,41.98367426126439,-87.696415852768808
Burling St & Diversey Pkwy,68,41.933124118287431,-87.647757831662858
Burling St (Halsted) & Diversey Pkwy,69,41.933126950959668,-87.64776993276395
Burnham Greenway & 105th St,70,41.704598845374143,-87.528314942043934
Burnham Harbor,71,41.856259668722629,-87.61333579038
California Ave & 21st St,72,41.853809264086465,-87.695733936681592
California Ave & 23rd Pl,73,41.849107868503644,-87.695129732439042
California Ave & 26th St,74,41.84404946482141,-87.695301234162926
California Ave & Altgeld St,75,41.926684965026027,-87.697683336059512
California Ave & Byron St,76,41.952162420908465,-87.698059423583388
California Ave & Cortez St,77,41.9003743211276,-87.696701770726989
California Ave & Division St,78,41.903021312403375,-87.697482551765489
California Ave & Fletcher St,79,41.938414792436824,-87.697988454736318
California Ave & Francis Pl,80,41.918501471734579,-87.697409484945638
California Ave & Lake St,81,41.8844669807187,-87.696276945812
California Ave & Milwaukee Ave,82,41.922687805448945,-87.697151568788641
California Ave & Montrose Ave,83,41.961075036328296,-87.695420772770873
California Ave & North Ave,84,41.91043146309633,-87.697181474400949
Calumet Ave & 18th St,85,41.85761822624508,-87.619413941391258
Calumet Ave & 21st St,86,41.854187860132804,-87.6191648464876
Calumet Ave & 33rd St,87,41.834892284003125,-87.617920231446163
Calumet Ave & 35th St,88,41.831398192321046,-87.618020441510311
Calumet Ave & 51st St,89,41.802291697620859,-87.618066953403158
Calumet Ave & 71st St,90,41.7655304954688,-87.616895824839219
Campbell Ave & Fullerton Ave,91,41.9246294222968,-87.6892997430097
Campbell Ave & Montrose Ave,92,41.961524208201631,-87.691167816612491
Campbell Ave & North Ave,93,41.910524023263591,-87.689555729537673
Canal St & Adams St,94,41.8793015757937,-87.63990345417514
Canal St & Harrison St,95,41.874271161970654,-87.639584718867908
Canal St & Jackson Blvd,96,41.877235076289423,-87.639388254422869
Canal St & Madison St,97,41.88209739862873,-87.639791475729467
Canal St & Monroe St,98,41.881695398882869,-87.639499063081075
Canal St & Taylor St,99,41.870254522491663,-87.639473614479229
Cannon Dr & Fullerton Ave,100,41.926763704793842,-87.634426808906781
Carpenter St & 63rd St,101,41.779877170138896,-87.650912388888884
Carpenter St & Huron St,102,41.894569946533196,-87.65343241786411
Central Ave & Chicago Ave,103,41.894963629484309,-87.764906962070256
Central Ave & Harrison St,104,41.873000019262982,-87.764300102596323
Central Ave & Lake St,105,41.887670645833325,-87.765472369391
Central Ave & Madison St,106,41.880121308164512,-87.763203919275639
Central Park Ave & 24th St,107,41.84810160219299,-87.71507467894736
Central Park Ave & Bloomingdale Ave,108,41.914169991194953,-87.7167599278695
Central Park Ave & Elbridge Ave,109,41.935328932767156,-87.716873606299743
Central Park Ave & North Ave,110,41.909665343343221,-87.716624748640683
Central Park Ave & Ogden Ave,111,41.8540664633574,-87.715108659565985
Central Park Blvd & 5th Ave,112,41.875684709689075,-87.715476332971818
Central St & Girard Ave,113,42.064306831327428,-87.686158595693257
Central St Metra,114,42.06362333387154,-87.698713388410482
Cherry Ave & Blackhawk St,115,41.907212378318142,-87.655614032624115
Chicago Ave & Dempster St,116,42.041697120266,-87.680685763976555
Chicago Ave & Sheridan Rd,117,42.050489623056109,-87.677815347317008
Chicago Ave & Washington St,118,42.032559289323316,-87.67911243260653
Christiana Ave & Lawrence Ave,119,41.968340328267864,-87.711796903168548
