member_casual,day_of_year,trip_date,avg_ride_len_secs,avg_ride_len,num_rides,daily_rides,part_of_daily_rides,part_of_tot_rides
casual,19,2020-01-19,5094,01:24:54,56,878,0.063781321184510256,1.6815322121517127e-05
member,20,2020-01-20,620,00:10:20,2776,2898,0.95790200138026227,0.000833559539452349
casual,20,2020-01-20,2813,00:46:53,122,2898,0.042097998619737752,3.6633380336162311e-05
casual,21,2020-01-21,2194,00:36:34,125,5134,0.024347487339306584,3.7534201164100728e-05
member,21,2020-01-21,670,00:11:10,5009,5134,0.97565251266069342,0.0015040705090478444
member,22,2020-01-22,658,00:10:58,5300,5450,0.97247706422018354,0.0015914501293578709
casual,22,2020-01-22,2715,00:45:15,150,5450,0.027522935779816515,4.5041041396920876e-05
member,23,2020-01-23,644,00:10:44,3479,3587,0.96989127404516307,0.0010446518867992514
casual,23,2020-01-23,2966,00:49:26,108,3587,0.03010872595483691,3.2429549805783031e-05
member,24,2020-01-24,704,00:11:44,3477,3622,0.95996686913307561,0.0010440513395806258
casual,24,2020-01-24,2581,00:43:01,145,3622,0.040033130866924352,4.3539673350356848e-05
casual,25,2020-01-25,4746,01:19:06,185,1709,0.10825043885313049,5.5550617722869081e-05
member,25,2020-01-25,592,00:09:52,1524,1709,0.89174956114686954,0.00045761698059271607
member,26,2020-01-26,710,00:11:50,2235,2522,0.8862014274385408,0.00067111151681412107
casual,26,2020-01-26,2232,00:37:12,287,2522,0.11379857256145916,8.6178525872775271e-05
member,27,2020-01-27,646,00:10:46,6028,6257,0.96340099089020292,0.0018100493169375936
casual,27,2020-01-27,2262,00:37:42,229,6257,0.036599009109797027,6.876265653263253e-05
member,28,2020-01-28,640,00:10:40,6361,6638,0.95827056342271766,0.0019100404288387579
casual,28,2020-01-28,2867,00:47:47,277,6638,0.041729436577282314,8.3175789779647215e-05
member,29,2020-01-29,644,00:10:44,6186,6388,0.96837820914214157,0.0018574925472090169
casual,29,2020-01-29,2591,00:43:11,202,6388,0.031621790857858482,6.0655269081186777e-05
casual,30,2020-01-30,2055,00:34:15,259,6528,0.039675245098039214,7.7770864812016713e-05
member,30,2020-01-30,663,00:11:03,6269,6528,0.96032475490196079,0.0018824152567819797
member,31,2020-01-31,702,00:11:42,5096,5377,0.9477403756741678,0.0015301943130580586
casual,31,2020-01-31,1686,00:28:06,281,5377,0.052259624325832248,8.4376884216898437e-05
member,32,2020-02-01,670,00:11:10,2787,3173,0.8783485660258431,0.00083686254915478985
casual,32,2020-02-01,2094,00:34:54,386,3173,0.12165143397415695,0.00011590561319474305
member,33,2020-02-02,818,00:13:38,4078,5355,0.761531279178338,0.0012245157787776223
casual,33,2020-02-02,2206,00:36:46,1277,5355,0.238468720821662,0.00038344939909245305
member,34,2020-02-03,667,00:11:07,6878,7226,0.95184057569886515,0.0020652818848534787
casual,34,2020-02-03,2021,00:33:41,348,7226,0.04815942430113479,0.00010449521604085642
member,35,2020-02-04,633,00:10:33,5913,6123,0.965703086722195,0.0017755178518666208
