member_casual,day_of_year,month,day_of_month,avg_ride_len_secs,avg_ride_len,num_rides,part_of_tot_rides
casual,62,Mar,2,1976,00:32:56,674,0.00020238441267683114
casual,63,Mar,3,1866,00:31:06,549,0.00016485021151273039
member,63,Mar,3,709,00:11:49,7419,0.0022277299074917063
member,64,Mar,4,687,00:11:27,7518,0.0022574569948136743
casual,64,Mar,4,1932,00:32:12,580,0.00017415869340142739
member,65,Mar,5,702,00:11:42,7376,0.0022148181422912559
casual,65,Mar,5,2115,00:35:15,655,0.00019667921409988781
member,66,Mar,6,638,00:10:38,5576,0.0016743256455282053
casual,66,Mar,6,1894,00:31:34,403,0.00012101026455306075
member,67,Mar,7,832,00:13:52,4445,0.001334716193395422
casual,67,Mar,7,2337,00:38:57,2188,0.00065699865717641919
member,68,Mar,8,953,00:15:53,6066,0.00182145971409148
casual,68,Mar,8,2721,00:45:21,4967,0.0014914590174567065
member,69,Mar,9,618,00:10:18,3906,0.0011728687179758195
casual,69,Mar,9,2496,00:41:36,238,7.1465119016447787e-05
member,70,Mar,10,690,00:11:30,6848,0.0020562736765740944
casual,70,Mar,10,1973,00:32:53,584,0.00017535978783867861
member,71,Mar,11,671,00:11:11,7002,0.0021025158124082662
casual,71,Mar,11,2040,00:34:00,569,0.00017085568369898651
member,72,Mar,12,742,00:12:22,7053,0.0021178297664832197
casual,72,Mar,12,2324,00:38:44,979,0.0002939678635172369
casual,73,Mar,13,2385,00:39:45,1238,0.00037173872832925361
member,73,Mar,13,751,00:12:31,5648,0.0016959453453987273
member,74,Mar,14,683,00:11:23,2347,0.00070474216105715531
casual,74,Mar,14,2013,00:33:33,605,0.00018166553363424754
member,75,Mar,15,829,00:13:49,2384,0.00071585228460172912
casual,75,Mar,15,2811,00:46:51,898,0.00026964570116289966
member,76,Mar,16,763,00:12:43,2961,0.00088911015717521808
casual,76,Mar,16,2177,00:36:17,237,7.1164845407134975e-05
member,77,Mar,17,923,00:15:23,3484,0.0010461532548458154
casual,77,Mar,17,2623,00:43:43,702,0.00021079207373758969
member,78,Mar,18,797,00:13:17,1633,0.00049034680400781194
casual,78,Mar,18,2206,00:36:46,205,6.15560899091252e-05
member,79,Mar,19,918,00:15:18,1645,0.00049395008731956559
casual,79,Mar,19,2045,00:34:05,214,6.4258552392940451e-05
casual,80,Mar,20,2701,00:45:01,374,0.00011230232988298938
member,80,Mar,20,814,00:13:34,1828,0.0005489001578238091
member,81,Mar,21,979,00:16:19,1659,0.00049815391784994491
casual,81,Mar,21,3022,00:50:22,436,0.00013091929366038335
member,82,Mar,22,1009,00:16:49,1006,0.00030207525096868264
casual,82,Mar,22,2313,00:38:33,292,8.76798939193393e-05
member,83,Mar,23,1033,00:17:13,1596,0.00047923668046323813
casual,83,Mar,23,2563,00:42:43,309,9.2784545277657e-05
member,84,Mar,24,988,00:16:28,1895,0.000569018489647767
casual,84,Mar,24,2248,00:37:28,505,0.00015163817270296695
member,85,Mar,25,1199,00:19:59,3269,0.00098159442884356235
casual,85,Mar,25,3334,00:55:34,1822,0.00054709851616793217
casual,86,Mar,26,1670,00:27:50,257,7.71703175933911e-05
member,86,Mar,26,865,00:14:25,1385,0.00041587894889823609
member,87,Mar,27,851,00:14:11,1298,0.000389755144888022
casual,87,Mar,27,2667,00:44:27,176,5.2848155239053823e-05
member,88,Mar,28,1072,00:17:52,1163,0.00034921820763079319
casual,88,Mar,28,2022,00:33:42,263,7.8971959249267935e-05
member,89,Mar,29,900,00:15:00,1155,0.00034681601875629075
casual,89,Mar,29,2264,00:37:44,275,8.25752425610216e-05
member,90,Mar,30,895,00:14:55,1605,0.00048193914294705336
casual,90,Mar,30,2317,00:38:37,299,8.9781809184528939e-05
member,91,Mar,31,895,00:14:55,1392,0.00041798086416342569
casual,91,Mar,31,2337,00:38:57,209,6.2757184346376416e-05
member,122,May,1,1135,00:18:55,3261,0.00097919223996905985
casual,122,May,1,2681,00:44:41,1426,0.0004281901668800611
member,123,May,2,1385,00:23:05,6051,0.0018169556099517882
casual,123,May,2,3132,00:52:12,5613,0.0016854357690727791
member,124,May,3,1297,00:21:37,5079,0.0015250896616997409
casual,124,May,3,2985,00:49:45,4218,0.001266554084081415
member,125,May,4,895,00:14:55,1910,0.00057352259378745912
casual,125,May,4,1755,00:29:15,675,0.00020268468628614392
casual,126,May,5,1459,00:24:19,454,0.00013632421862801384
member,126,May,5,935,00:15:35,1475,0.00044290357373638861
casual,127,May,6,2175,00:36:15,1533,0.00046031944307653135
member,127,May,6,1072,00:17:52,3151,0.00094616214294465119
member,128,May,7,1092,00:18:12,3213,0.00096477910672204507
casual,128,May,7,2413,00:40:13,1725,0.00051797197606459
casual,129,May,8,1832,00:30:32,738,0.0002216019236728507
member,129,May,8,943,00:15:43,2022,0.00060715323803049335
member,130,May,9,1231,00:20:31,4352,0.0013067907477293309
casual,130,May,9,2582,00:43:02,3469,0.0010416491507061233
casual,131,May,10,1904,00:31:44,424,0.00012731601034862968
member,131,May,10,888,00:14:48,956,0.0002870615705030424
casual,132,May,11,2015,00:33:35,830,0.00024922709572962885
member,132,May,11,953,00:15:53,2003,0.00060144803945355011
casual,133,May,12,2102,00:35:02,1514,0.00045461424449958805
member,133,May,12,1030,00:17:10,3165,0.0009503659734750304
casual,134,May,13,2639,00:43:59,2085,0.00062607047541720013
member,134,May,13,1119,00:18:39,3603,0.0010818858143540394
casual,135,May,14,2748,00:45:48,1033,0.00031018263842012844
member,135,May,14,1126,00:18:46,1949,0.00058523326455065861
casual,136,May,15,2583,00:43:03,2847,0.00085487896571355816
member,136,May,15,1176,00:19:36,4082,0.0012257168732148734
member,137,May,16,1257,00:20:57,4970,0.001492359838284645
casual,137,May,16,2705,00:45:05,3878,0.0011644610569150611
casual,138,May,17,2149,00:35:49,235,7.0564298188509364e-05
member,138,May,17,818,00:13:38,446,0.00013392202975351139
casual,139,May,18,2079,00:34:39,1192,0.00035792614230086456
member,139,May,18,998,00:16:38,2635,0.00079122096053924334
member,140,May,19,985,00:16:25,2063,0.00061946445601231842
casual,140,May,19,2220,00:37:00,745,0.00022370383893804033
casual,141,May,20,2417,00:40:17,2144,0.00064378661836665566
member,141,May,20,1114,00:18:34,4041,0.0012134056552330485
casual,142,May,21,2332,00:38:52,1922,0.00057712587709921276
member,142,May,21,1081,00:18:01,3591,0.0010782825310422857
member,143,May,22,1129,00:18:49,4503,0.0013521320627355646
casual,143,May,22,2585,00:43:05,2979,0.00089451508214284854
member,144,May,23,1247,00:20:47,4613,0.0013851621597599734
casual,144,May,23,2718,00:45:18,4006,0.0012028960789071002
member,145,May,24,1366,00:22:46,6593,0.0019797039061993289
casual,145,May,24,3101,00:51:41,8033,0.0024120979036097692
casual,146,May,25,3030,00:50:30,7701,0.0023124070653179176
member,146,May,25,1310,00:21:50,6338,0.0019031341358245633
casual,147,May,26,2970,00:49:30,3407,0.0010230321869287295
member,147,May,26,1116,00:18:36,4199,0.0012608488855044716
casual,148,May,27,2573,00:42:53,3324,0.00099810947735576652
member,148,May,27,1136,00:18:56,4676,0.00140407939714668
member,149,May,28,1068,00:17:48,4050,0.0012161081177168636
casual,149,May,28,2240,00:37:20,2623,0.0007876176772274897
casual,150,May,29,2713,00:45:13,4637,0.0013923687263834807
member,150,May,29,1187,00:19:47,5774,0.0017337798201721409
casual,151,May,30,2521,00:42:01,10334,0.0031030274786385354
member,151,May,30,1295,00:21:35,6636,0.0019926156713997796
casual,152,May,31,1666,00:27:46,170,5.1046513583176989e-05
member,152,May,31,1034,00:17:14,15,4.5041041396920874e-06
casual,306,Nov,1,1434,00:23:54,1529,0.0004591183486392801
member,306,Nov,1,730,00:12:10,3271,0.000982194976062188
casual,307,Nov,2,1304,00:21:44,1553,0.00046632491526278744
member,307,Nov,2,705,00:11:45,5270,0.0015824419210784867
member,308,Nov,3,811,00:13:31,7123,0.0021388489191351157
casual,308,Nov,3,1607,00:26:47,3004,0.00090202192237566871
casual,309,Nov,4,1639,00:27:19,3117,0.00093595284022801573
member,309,Nov,4,825,00:13:45,7120,0.0021379480983071777
casual,310,Nov,5,1546,00:25:46,3253,0.00097679005109455735
member,310,Nov,5,800,00:13:20,7181,0.0021562647884752588
casual,311,Nov,6,1984,00:33:04,5220,0.0015674282406128463
member,311,Nov,6,854,00:14:14,8379,0.002515992572432
member,312,Nov,7,1051,00:17:31,9427,0.0028306793149918204
casual,312,Nov,7,2234,00:37:14,10875,0.0032654755012767635
member,313,Nov,8,1044,00:17:24,7758,0.0023295226610487475
casual,313,Nov,8,2234,00:37:14,8111,0.002435519245136168
casual,314,Nov,9,1937,00:32:17,4134,0.0012413311008991393
member,314,Nov,9,831,00:13:51,7880,0.0023661560413849097
member,315,Nov,10,737,00:12:17,5637,0.0016926423356962864
casual,315,Nov,10,1388,00:23:08,2003,0.00060144803945355011
casual,316,Nov,11,1207,00:20:07,1756,0.000527280457953287
member,316,Nov,11,710,00:11:50,5652,0.0016971464398359785
member,317,Nov,12,724,00:12:04,5694,0.0017097579314271163
casual,317,Nov,12,1240,00:20:40,1930,0.00057952806597371526
member,318,Nov,13,706,00:11:46,4992,0.0014989658576895267
casual,318,Nov,13,1236,00:20:36,1751,0.000525779089906723
casual,319,Nov,14,1621,00:27:01,2048,0.00061496035187262631
member,319,Nov,14,768,00:12:48,3869,0.0011617585944312457
member,320,Nov,15,655,00:10:55,1979,0.00059424147283004272
casual,320,Nov,15,1376,00:22:56,752,0.00022580575420323
member,321,Nov,16,717,00:11:57,4745,0.0014247982761892636
casual,321,Nov,16,1185,00:19:45,1294,0.00038855405045077072
member,322,Nov,17,713,00:11:53,4482,0.0013458263169399958
casual,322,Nov,17,1151,00:19:11,1128,0.000338708631304845
member,323,Nov,18,735,00:12:15,4901,0.0014716409592420614
casual,323,Nov,18,1192,00:19:52,1310,0.00039335842819977562
casual,324,Nov,19,1442,00:24:02,2168,0.000650993184990163
member,324,Nov,19,783,00:13:03,5622,0.0016881382315565943
member,325,Nov,20,831,00:13:51,5904,0.0017728153893828056
casual,325,Nov,20,1593,00:26:33,2507,0.00075278593854720421
casual,326,Nov,21,1641,00:27:21,2234,0.00067081124320480818
member,326,Nov,21,830,00:13:50,4375,0.0013136970407435255
casual,327,Nov,22,1612,00:26:52,1317,0.00039546034346496528
member,327,Nov,22,843,00:14:03,2872,0.00086238580594637834
member,328,Nov,23,749,00:12:29,4182,0.0012557442341461539
casual,328,Nov,23,1470,00:24:30,1225,0.00036783517140818713
member,329,Nov,24,665,00:11:05,1893,0.00056841794242914144
casual,329,Nov,24,1385,00:23:05,385,0.00011560533958543024
member,330,Nov,25,721,00:12:01,2165,0.00065009236416222458
casual,330,Nov,25,1461,00:24:21,535,0.00016064638098235113
member,331,Nov,26,869,00:14:29,2019,0.000606252417202555
casual,331,Nov,26,1904,00:31:44,1000,0.00030027360931280582
casual,332,Nov,27,1859,00:30:59,1475,0.00044290357373638861
member,332,Nov,27,878,00:14:38,3039,0.000912531498701617
member,333,Nov,28,963,00:16:03,3725,0.0011185191946902018
casual,333,Nov,28,2126,00:35:26,2459,0.00073837280530018954
member,334,Nov,29,852,00:14:12,3108,0.00093325037774420055
casual,334,Nov,29,1648,00:27:28,1524,0.00045761698059271607
member,335,Nov,30,647,00:10:47,2860,0.0008587825226346247
casual,335,Nov,30,1014,00:16:54,509,0.00015283926714021817
casual,275,Oct,1,1245,00:20:45,2826,0.00084857321991798924
member,275,Oct,1,754,00:12:34,7045,0.002115427577608717
casual,276,Oct,2,1533,00:25:33,4569,0.0013719501209502097
member,276,Oct,2,790,00:13:10,8108,0.0024346184243082295
member,277,Oct,3,889,00:14:49,6743,0.0020247449475962495
casual,277,Oct,3,1708,00:28:28,6110,0.0018346717529012437
casual,278,Oct,4,1794,00:29:54,5126,0.0015392025213374428
member,278,Oct,4,923,00:15:23,6106,0.0018334706584639923
casual,279,Oct,5,1477,00:24:37,3310,0.00099390564682538731
member,279,Oct,5,792,00:13:12,7630,0.0022910876390567084
member,280,Oct,6,841,00:14:01,9522,0.0028592053078765373
casual,280,Oct,6,1574,00:26:14,4588,0.0013776553195271532
casual,281,Oct,7,1610,00:26:50,5277,0.0015845438363436763
member,281,Oct,7,860,00:14:20,10140,0.003044774398431851
casual,282,Oct,8,1511,00:25:11,4879,0.0014650349398371797
member,282,Oct,8,827,00:13:47,9451,0.0028378858816153277
member,283,Oct,9,915,00:15:15,10040,0.0030147470375005707
casual,283,Oct,9,1887,00:31:27,7992,0.0023997866856279443
casual,284,Oct,10,2172,00:36:12,12022,0.0036098893311585518
member,284,Oct,10,975,00:16:15,9608,0.0028850288382774383
casual,285,Oct,11,2203,00:36:43,8984,0.0026976581060662477
member,285,Oct,11,972,00:16:12,8094,0.0024304145937778503
casual,286,Oct,12,1459,00:24:19,2492,0.00074828183440751211
member,286,Oct,12,767,00:12:47,5822,0.0017481929534191554
member,287,Oct,13,838,00:13:58,9064,0.0027216799948112718
casual,287,Oct,13,1600,00:26:40,4348,0.0013055896532920797
casual,288,Oct,14,1555,00:25:55,4253,0.0012770636604073633
member,288,Oct,14,833,00:13:53,8991,0.0026997600213314373
casual,289,Oct,15,1218,00:20:18,3188,0.000957272266489225
member,289,Oct,15,751,00:12:31,7550,0.0022670657503116838
member,290,Oct,16,1041,00:17:21,6514,0.001955982291063617
casual,290,Oct,16,1862,00:31:02,3429,0.0010296382063336113
casual,291,Oct,17,1900,00:31:40,5946,0.0017854268809739434
member,291,Oct,17,860,00:14:20,6280,0.0018857182664844207
member,292,Oct,18,766,00:12:46,2810,0.00084376884216898435
casual,292,Oct,18,1450,00:24:10,1457,0.00043749864876875809
member,293,Oct,19,719,00:11:59,4815,0.0014458174288411601
casual,293,Oct,19,1355,00:22:35,1445,0.0004338953654570044
member,294,Oct,20,724,00:12:04,5983,0.0017965370045185172
casual,294,Oct,20,1130,00:18:50,1823,0.00054739878977724506
casual,295,Oct,21,1375,00:22:55,2246,0.00067441452651656193
member,295,Oct,21,749,00:12:29,6520,0.0019577839327194939
member,296,Oct,22,853,00:14:13,7454,0.0022382394838176547
casual,296,Oct,22,1674,00:27:54,3610,0.001083987729619229
casual,297,Oct,23,1283,00:21:23,1473,0.000442303026517763
member,297,Oct,23,681,00:11:21,4363,0.0013100937574317718
casual,298,Oct,24,1713,00:28:33,4429,0.001329911815646417
member,298,Oct,24,854,00:14:14,6004,0.0018028427503140863
member,299,Oct,25,797,00:13:17,4455,0.00133771892948855
casual,299,Oct,25,1566,00:26:06,2708,0.00081314093401907818
casual,300,Oct,26,1022,00:17:02,1015,0.00030477771345249793
member,300,Oct,26,695,00:11:35,4451,0.0013365178350512987
member,301,Oct,27,774,00:12:54,4228,0.0012695568201745431
casual,301,Oct,27,1149,00:19:09,950,0.00028525992884716552
member,302,Oct,28,753,00:12:33,6317,0.0018968283900289945
casual,302,Oct,28,1264,00:21:04,1930,0.00057952806597371526
member,303,Oct,29,682,00:11:22,5356,0.0016082654514793879
casual,303,Oct,29,1011,00:16:51,1504,0.00045161150840646
casual,304,Oct,30,1251,00:20:51,2152,0.00064618880724115816
member,304,Oct,30,750,00:12:30,5705,0.0017130609411295573
member,305,Oct,31,911,00:15:11,6581,0.001976100622887575
casual,305,Oct,31,1853,00:30:53,4543,0.0013641430071080769
casual,245,Sep,1,1525,00:25:25,2963,0.00088971070439384365
member,245,Sep,1,819,00:13:39,7122,0.002138548645525803
casual,246,Sep,2,1864,00:31:04,6883,0.0020667832529000425
member,246,Sep,2,901,00:15:01,11542,0.0034657579986884048
member,247,Sep,3,876,00:14:36,11023,0.0033099159954550587
casual,247,Sep,3,1813,00:30:13,6858,0.0020592764126672225
casual,248,Sep,4,2058,00:34:18,9539,0.002864309959234855
member,248,Sep,4,974,00:16:14,11282,0.0033876868602670755
casual,249,Sep,5,2466,00:41:06,16476,0.0049473079870377889
member,249,Sep,5,1095,00:18:15,10568,0.0031732915032177322
member,250,Sep,6,965,00:16:05,6434,0.0019319604023185926
casual,250,Sep,6,2353,00:39:13,9587,0.0028787230924818695
casual,251,Sep,7,2445,00:40:45,12383,0.0037182881041204745
member,251,Sep,7,1056,00:17:36,9866,0.0029624994294801424
casual,252,Sep,8,1344,00:22:24,1723,0.00051737142884596447
member,252,Sep,8,731,00:12:11,4563,0.001370148479294333
member,253,Sep,9,806,00:13:26,8229,0.0024709515310350791
casual,253,Sep,9,1465,00:24:25,3494,0.0010491559909389435
casual,254,Sep,10,1556,00:25:56,2913,0.0008746970239282034
member,254,Sep,10,786,00:13:06,6854,0.0020580753182299709
member,255,Sep,11,853,00:14:13,8648,0.0025967661733371449
casual,255,Sep,11,1576,00:26:16,5146,0.0015452079935236987
member,256,Sep,12,866,00:14:26,5578,0.0016749261927468308
casual,256,Sep,12,1718,00:28:38,4667,0.0014013769346628649
casual,257,Sep,13,2314,00:38:34,11604,0.0034843749624657991
member,257,Sep,13,1091,00:18:11,10676,0.0032057210530235152
member,258,Sep,14,864,00:14:24,9254,0.0027787319805807052
casual,258,Sep,14,1812,00:30:12,4842,0.0014539248162926059
casual,259,Sep,15,1762,00:29:22,6083,0.0018265643654497979
member,259,Sep,15,884,00:14:44,10898,0.0032723817942909581
casual,260,Sep,16,1857,00:30:57,6847,0.0020559734029647813
member,260,Sep,16,883,00:14:43,11004,0.0033042107968781153
casual,261,Sep,17,1593,00:26:33,5660,0.001699548628710481
member,261,Sep,17,842,00:14:02,10122,0.0030393694734642206
member,262,Sep,18,831,00:13:51,9457,0.0028396875232712046
casual,262,Sep,18,1718,00:28:38,6166,0.0018514870750227608
casual,263,Sep,19,2101,00:35:01,11802,0.0035438291371097342
member,263,Sep,19,1011,00:16:51,9888,0.0029691054488850239
casual,264,Sep,20,2164,00:36:04,10006,0.0030045377347839349
member,264,Sep,20,986,00:16:26,9323,0.0027994508596232886
casual,265,Sep,21,1849,00:30:49,5175,0.0015539159281937702
member,265,Sep,21,889,00:14:49,9323,0.0027994508596232886
casual,266,Sep,22,1771,00:29:31,5840,0.001753597878386786
member,266,Sep,22,860,00:14:20,10608,0.003185302447590244
member,267,Sep,23,857,00:14:17,10815,0.0032474590847179951
casual,267,Sep,23,1744,00:29:04,6071,0.0018229610821380441
casual,268,Sep,24,1631,00:27:11,6414,0.0019259549301323365
member,268,Sep,24,869,00:14:29,10779,0.0032366492347827339
member,269,Sep,25,896,00:14:56,11254,0.0033792791992063166
casual,269,Sep,25,1798,00:29:58,9353,0.0028084590679026728
casual,270,Sep,26,2073,00:34:33,13279,0.0039873332580647484
member,270,Sep,26,966,00:16:06,10395,0.0031213441688066165
member,271,Sep,27,981,00:16:21,9109,0.0027351923072303484
casual,271,Sep,27,2048,00:34:08,9665,0.0029021444340082683
casual,272,Sep,28,1374,00:22:54,2997,0.00089992000711047911
member,272,Sep,28,776,00:12:56,6879,0.0020655821584627913
casual,273,Sep,29,1415,00:23:35,3885,0.0011665629721802507
member,273,Sep,29,794,00:13:14,8880,0.0026664296506977159
casual,274,Sep,30,1341,00:22:21,3720,0.0011170178266436378
member,274,Sep,30,773,00:12:53,8669,0.0026030719191327137
